8930	4993	106.993515
8930	356	104.56318
8930	260	104.34089
8930	2762	102.94036
8930	318	100.15305
8930	5445	99.95221
8930	2716	99.86152
8930	2858	99.78874
8930	1036	98.16955
8930	3578	96.588425
8930	33493	95.90103
8930	4963	95.02008
8930	541	93.33416
8930	500	92.5151
8930	457	91.99766
8930	527	91.12703
8930	364	90.199425
8930	367	89.9188
8930	1214	89.79999
8930	1197	88.816315
8930	1517	87.73605
8930	1387	87.65117
8930	44191	87.3917
8930	1246	87.09567
8930	5989	86.140076
8930	1073	85.70903
8930	736	85.3731
8930	2355	85.30735
8930	4720	84.99603
8930	208	83.94343
8930	2	82.37738
8930	2997	81.727875
8930	1704	81.64893
8930	4973	81.28248
8930	2706	80.95772
8930	2000	80.21111
8930	1625	79.62216
8930	316	79.292984
8930	4370	78.959114
8930	4011	78.90965
8930	2710	78.78803
8930	40815	78.40487
8930	5669	78.31934
8930	2640	77.54308
8930	1206	77.1804
8930	2329	75.79646
8930	2985	75.79221
8930	8644	75.28681
8930	6373	74.893745
8930	1610	74.50159
1510	356	53.92096
1510	480	53.45332
1510	1270	52.424107
1510	1580	52.34551
1510	3578	52.185284
1510	780	52.07919
1510	4896	50.17553
1510	8360	49.92481
1510	3147	48.885796
1510	8636	48.85782
1510	7147	48.418392
1510	4226	48.384605
1510	8970	47.67307
1510	110	47.63551
1510	2028	47.45303
1510	5218	47.421997
1510	8368	46.983624
1510	150	46.77922
1510	2706	46.49784
1510	367	46.48955
1510	919	46.30465
1510	2571	46.16048
1510	46578	45.032024
1510	3996	44.883347
1510	46976	44.75858
1510	47	44.343327
1510	54001	44.284008
1510	7438	44.13453
1510	32587	44.13331
1510	6333	43.514645
1510	1704	42.916145
1510	48780	42.81618
1510	296	42.58096
1510	1097	42.578384
1510	4027	42.309517
1510	260	42.27093
1510	4973	42.21237
1510	48774	42.19611
1510	6365	42.187737
1510	1198	42.098648
1510	6874	42.060673
1510	1136	41.95908
1510	1196	41.92702
1510	1291	41.862976
1510	3408	41.75525
1510	344	41.69546
1510	2628	41.669365
1510	4308	41.344154
1510	3793	41.222355
1510	3751	41.21273
70974	1198	116.84615
70974	593	110.9919
70974	380	104.6864
70974	5445	103.995224
70974	1097	102.858574
70974	8636	102.180855
70974	3996	101.20102
70974	2959	100.86253
70974	1527	99.34127
70974	4226	99.31182
70974	6365	98.45522
70974	586	96.96841
70974	1089	96.694725
70974	5989	96.40451
70974	165	95.91253
70974	4022	92.3366
70974	7361	91.0878
70974	1197	90.05815
70974	1213	89.05493
70974	2987	88.5969
70974	1485	87.20764
70974	4011	86.49929
70974	2011	85.17133
70974	1653	84.826706
70974	2329	83.99867
70974	3623	83.89474
70974	4878	82.8829
70974	2985	82.67164
70974	153	82.50516
70974	3527	81.59992
70974	2710	81.25052
70974	1732	80.72998
70974	1544	80.66466
70974	34	80.471405
70974	3897	80.42346
70974	5218	80.35452
70974	4085	80.155975
70974	33166	79.99958
70974	3253	79.69463
70974	6373	78.59963
70974	34048	78.371735
70974	1079	78.062645
70974	349	77.79866
70974	5669	77.69406
70974	30793	77.508194
70974	35836	76.991425
70974	919	75.38206
70974	1219	75.380646
70974	357	75.34512
70974	41566	75.23099
36294	4993	95.32054
36294	7153	92.99564
36294	5445	92.67756
36294	4226	92.63131
36294	541	89.67176
36294	110	88.50861
36294	1089	88.44177
36294	1196	87.855545
