VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	nDCG	2.450104361265865e-21
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	2.450104361265865e-21
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	Recall	1.5311308354175307e-07
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	1.5311308354175307e-07
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	Precision	5.3781133437129345e-24
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	5.3781133437129345e-24
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	HR	1.2684808061945102e-22
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	1.2684808061945102e-22
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	F1	2.254268764779404e-16
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	2.254268764779404e-16
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	MAP	9.466086553140509e-23
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	MAP	9.466086553140509e-23
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	nDCG	0.0
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Recall	3.615161569359768e-294
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	3.615161569359768e-294
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Precision	0.0
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	HR	0.0
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	F1	0.0
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	MAP	0.0
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	MAP	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	nDCG	1.0553994605806324e-78
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	1.0553994605806324e-78
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	Recall	8.982897329843135e-38
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	8.982897329843135e-38
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	Precision	5.885732753026786e-103
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	5.885732753026786e-103
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	HR	1.2897085238187232e-102
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	1.2897085238187232e-102
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	F1	4.985901429966679e-71
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	4.985901429966679e-71
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	EASER_neighborhood=50_l2_norm=1000$0	MAP	2.8661945584447093e-71
EASER_neighborhood=50_l2_norm=1000$0	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	MAP	2.8661945584447093e-71
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	nDCG	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	Recall	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	Precision	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	HR	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	F1	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	MAP	0.0
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	MAP	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	nDCG	0.0
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Recall	0.0
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Precision	0.0
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	HR	0.0
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	0.0
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	F1	0.0
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	0.0
